timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733359416971,670,GET Request,200,,Teste de Carga e Desempenho 1-185,text,true,,1089839,124,851,851,http://localhost:8080/usuarios,659,0,1
1733359416973,668,GET Request,200,,Teste de Carga e Desempenho 1-187,text,true,,1089839,124,851,851,http://localhost:8080/usuarios,656,0,0
1733359416975,674,GET Request,200,,Teste de Carga e Desempenho 1-189,text,true,,1089893,124,858,858,http://localhost:8080/usuarios,660,0,1
1733359416987,665,POST Request,200,,Teste de Carga e Desempenho 1-33,text,true,,226,296,860,860,http://localhost:8080/usuarios,665,0,0
1733359416974,678,GET Request,200,,Teste de Carga e Desempenho 1-188,text,true,,1089839,124,860,860,http://localhost:8080/usuarios,663,0,0
1733359416987,665,POST Request,200,,Teste de Carga e Desempenho 1-30,text,true,,226,296,860,860,http://localhost:8080/usuarios,665,0,0
1733359416988,664,POST Request,200,,Teste de Carga e Desempenho 1-32,text,true,,226,296,860,860,http://localhost:8080/usuarios,664,0,0
1733359416978,675,GET Request,200,,Teste de Carga e Desempenho 1-190,text,true,,1089947,124,862,862,http://localhost:8080/usuarios,660,0,0
1733359416977,677,GET Request,200,,Teste de Carga e Desempenho 1-191,text,true,,1089947,124,862,862,http://localhost:8080/usuarios,664,0,1
1733359416985,680,PUT Request,200,,Teste de Carga e Desempenho 1-4,text,true,,225,263,875,875,http://localhost:8080/usuarios/1,680,0,0
1733359416979,689,GET Request,200,,Teste de Carga e Desempenho 1-193,text,true,,1089947,124,877,877,http://localhost:8080/usuarios,679,0,1
1733359416979,691,GET Request,200,,Teste de Carga e Desempenho 1-194,text,true,,1089947,124,877,877,http://localhost:8080/usuarios,681,0,1
1733359416979,692,GET Request,200,,Teste de Carga e Desempenho 1-192,text,true,,1089947,124,880,880,http://localhost:8080/usuarios,680,0,1
1733359416991,685,PUT Request,200,,Teste de Carga e Desempenho 1-5,text,true,,225,263,885,885,http://localhost:8080/usuarios/1,685,0,0
1733359416980,696,GET Request,200,,Teste de Carga e Desempenho 1-195,text,true,,1089947,124,884,884,http://localhost:8080/usuarios,683,0,1
1733359416981,697,GET Request,200,,Teste de Carga e Desempenho 1-196,text,true,,1090001,124,887,887,http://localhost:8080/usuarios,686,0,1
1733359416983,697,GET Request,200,,Teste de Carga e Desempenho 1-197,text,true,,1090055,124,888,888,http://localhost:8080/usuarios,686,0,0
1733359416993,687,POST Request,200,,Teste de Carga e Desempenho 1-34,text,true,,226,296,888,888,http://localhost:8080/usuarios,687,0,0
1733359416997,684,PUT Request,200,,Teste de Carga e Desempenho 1-6,text,true,,225,263,889,889,http://localhost:8080/usuarios/1,684,0,0
1733359416985,697,GET Request,200,,Teste de Carga e Desempenho 1-198,text,true,,1090055,124,888,888,http://localhost:8080/usuarios,687,0,0
1733359417132,552,GET Request,200,,Teste de Carga e Desempenho 1-345,text,true,,1090055,124,891,891,http://localhost:8080/usuarios,541,0,1
1733359416985,700,GET Request,200,,Teste de Carga e Desempenho 1-199,text,true,,1090055,124,891,891,http://localhost:8080/usuarios,689,0,0
1733359416986,702,GET Request,200,,Teste de Carga e Desempenho 1-200,text,true,,1090217,124,893,893,http://localhost:8080/usuarios,692,0,1
1733359416987,712,GET Request,200,,Teste de Carga e Desempenho 1-201,text,true,,1090217,124,903,903,http://localhost:8080/usuarios,703,0,1
1733359416999,702,POST Request,200,,Teste de Carga e Desempenho 1-36,text,true,,226,296,907,907,http://localhost:8080/usuarios,702,0,0
1733359416987,715,GET Request,200,,Teste de Carga e Desempenho 1-202,text,true,,1090217,124,908,908,http://localhost:8080/usuarios,703,0,1
1733359416988,716,GET Request,200,,Teste de Carga e Desempenho 1-203,text,true,,1090217,124,909,909,http://localhost:8080/usuarios,703,0,1
1733359417000,704,POST Request,200,,Teste de Carga e Desempenho 1-35,text,true,,226,296,909,909,http://localhost:8080/usuarios,704,0,0
1733359416990,718,GET Request,200,,Teste de Carga e Desempenho 1-204,text,true,,1090217,124,915,915,http://localhost:8080/usuarios,706,0,0
1733359416991,719,GET Request,200,,Teste de Carga e Desempenho 1-206,text,true,,1090217,124,915,915,http://localhost:8080/usuarios,708,0,1
1733359416990,720,GET Request,200,,Teste de Carga e Desempenho 1-205,text,true,,1090217,124,916,916,http://localhost:8080/usuarios,709,0,1
1733359416993,723,GET Request,200,,Teste de Carga e Desempenho 1-208,text,true,,1090271,124,922,922,http://localhost:8080/usuarios,712,0,1
1733359416996,720,GET Request,200,,Teste de Carga e Desempenho 1-210,text,true,,1090271,124,923,923,http://localhost:8080/usuarios,711,0,1
1733359416839,878,GET Request,200,,Teste de Carga e Desempenho 1-53,text,true,,1090271,124,923,923,http://localhost:8080/usuarios,867,0,1
1733359416994,724,GET Request,200,,Teste de Carga e Desempenho 1-209,text,true,,1090271,124,924,924,http://localhost:8080/usuarios,710,0,1
1733359416998,751,GET Request,200,,Teste de Carga e Desempenho 1-212,text,true,,1090271,124,953,953,http://localhost:8080/usuarios,723,0,1
1733359416997,753,GET Request,200,,Teste de Carga e Desempenho 1-211,text,true,,1090271,124,957,957,http://localhost:8080/usuarios,724,0,1
1733359417012,754,GET Request,200,,Teste de Carga e Desempenho 1-214,text,true,,1090379,124,960,960,http://localhost:8080/usuarios,734,0,1
1733359417012,755,GET Request,200,,Teste de Carga e Desempenho 1-215,text,true,,1090379,124,972,972,http://localhost:8080/usuarios,733,0,1
1733359416998,769,GET Request,200,,Teste de Carga e Desempenho 1-213,text,true,,1090325,124,973,973,http://localhost:8080/usuarios,748,0,1
1733359417013,762,GET Request,200,,Teste de Carga e Desempenho 1-223,text,true,,1090379,124,982,982,http://localhost:8080/usuarios,754,0,1
1733359417013,763,GET Request,200,,Teste de Carga e Desempenho 1-216,text,true,,1090379,124,983,983,http://localhost:8080/usuarios,741,0,0
1733359417013,764,GET Request,200,,Teste de Carga e Desempenho 1-221,text,true,,1090379,124,983,983,http://localhost:8080/usuarios,738,0,0
1733359417013,765,GET Request,200,,Teste de Carga e Desempenho 1-218,text,true,,1090379,124,984,984,http://localhost:8080/usuarios,754,0,1
1733359417013,765,GET Request,200,,Teste de Carga e Desempenho 1-226,text,true,,1090379,124,984,984,http://localhost:8080/usuarios,754,0,1
1733359417013,773,GET Request,200,,Teste de Carga e Desempenho 1-222,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,762,0,1
1733359417014,777,GET Request,200,,Teste de Carga e Desempenho 1-227,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,766,0,0
1733359417013,781,GET Request,200,,Teste de Carga e Desempenho 1-217,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,766,0,1
1733359417014,781,GET Request,200,,Teste de Carga e Desempenho 1-225,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,767,0,0
1733359417014,783,GET Request,200,,Teste de Carga e Desempenho 1-224,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,772,0,0
1733359417014,786,GET Request,200,,Teste de Carga e Desempenho 1-229,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,779,0,1
1733359417015,787,GET Request,200,,Teste de Carga e Desempenho 1-220,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,779,0,0
1733359417015,788,GET Request,200,,Teste de Carga e Desempenho 1-219,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,779,0,0
1733359417014,790,GET Request,200,,Teste de Carga e Desempenho 1-228,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,781,0,1
1733359417016,788,GET Request,200,,Teste de Carga e Desempenho 1-230,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,779,0,1
1733359417017,790,GET Request,200,,Teste de Carga e Desempenho 1-232,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,784,0,1
1733359417017,795,GET Request,200,,Teste de Carga e Desempenho 1-231,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,788,0,1
1733359417018,796,GET Request,200,,Teste de Carga e Desempenho 1-233,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,788,0,1
1733359417019,796,GET Request,200,,Teste de Carga e Desempenho 1-234,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,789,0,1
1733359417021,795,GET Request,200,,Teste de Carga e Desempenho 1-235,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,787,0,0
1733359417023,801,GET Request,200,,Teste de Carga e Desempenho 1-237,text,true,,1090379,124,993,993,http://localhost:8080/usuarios,793,0,1
